strategy,rep,phase,rel_time,node,task_size,latency_ms
Round Robin,0,pre,0.16648077964782715,node-a,123328.34653580883,101.61423683166504
Round Robin,0,pre,0.32770633697509766,node-b,62960.00538639512,58.081865310668945
Round Robin,0,pre,0.4920330047607422,node-c,154117.81473681098,364.349365234375
Round Robin,0,pre,0.5117504596710205,node-a,169486.63954621818,158.35118293762207
Round Robin,0,pre,0.5182638168334961,node-b,39923.86033135189,43.663740158081055
Round Robin,0,pre,0.6170754432678223,node-c,55224.2401116969,240.48614501953125
Round Robin,0,pre,0.714475154876709,node-a,112889.77998801673,102.36024856567383
Round Robin,0,pre,0.9297401905059814,node-b,90411.40732044433,90.98577499389648
Round Robin,0,pre,0.9351277351379395,node-c,105013.73635503302,141.9820785522461
Round Robin,0,pre,1.007359266281128,node-a,69128.68578469494,51.50747299194336
Round Robin,0,pre,1.013207197189331,node-b,164381.62893054791,155.29990196228027
Round Robin,0,pre,1.087669849395752,node-c,156239.12879695476,268.0518627166748
Round Robin,0,pre,1.2067101001739502,node-a,109454.29792252355,99.46632385253906
Round Robin,0,pre,1.2336750030517578,node-b,186068.02753197495,193.05133819580078
Round Robin,0,pre,1.3187077045440674,node-c,133786.6562848461,362.2395992279053
Round Robin,0,pre,1.3290417194366455,node-a,68913.04630081484,60.312509536743164
Round Robin,0,pre,1.336082935333252,node-b,127340.82264890775,255.64980506896973
Round Robin,0,pre,1.3572273254394531,node-c,65565.55241263952,301.3958930969238
Round Robin,0,pre,1.4194698333740234,node-a,164303.75731984293,129.59837913513184
Round Robin,0,pre,1.4479479789733887,node-b,103288.78338218242,208.16969871520996
Round Robin,0,pre,1.5343644618988037,node-c,96549.95675863358,334.0919017791748
Round Robin,0,pre,1.549576759338379,node-a,75341.18799430737,69.67616081237793
Round Robin,0,pre,1.6761384010314941,node-b,195148.81319740802,177.17552185058594
Round Robin,0,pre,1.7606887817382812,node-c,98025.43656209784,316.1897659301758
Round Robin,0,pre,1.8060271739959717,node-a,85483.88098691129,70.24240493774414
Round Robin,0,pre,1.83485746383667,node-b,88803.4026627253,127.10452079772949
Round Robin,0,pre,1.8658580780029297,node-c,138192.3196413388,704.8623561859131
Round Robin,0,pre,1.871215581893921,node-a,127130.45639778033,106.96530342102051
Round Robin,0,pre,1.8837895393371582,node-b,130172.18168071713,194.85998153686523
Round Robin,0,pre,1.930943250656128,node-c,131354.82433167935,932.805061340332
Round Robin,0,pre,1.957873821258545,node-a,308992.04839504755,316.19882583618164
Round Robin,0,pre,2.0446743965148926,node-b,86425.62647825923,193.81284713745117
Round Robin,0,pre,2.093719244003296,node-c,81971.39773003901,882.7149868011475
Round Robin,0,pre,2.1100852489471436,node-a,70499.48315510646,158.34403038024902
Round Robin,0,pre,2.142178773880005,node-b,144096.2463972571,301.0544776916504
Round Robin,0,pre,2.1867570877075195,node-c,186229.14710562734,893.0056095123291
Round Robin,0,pre,2.2100629806518555,node-a,100034.78884656797,123.66056442260742
Round Robin,0,pre,2.2324705123901367,node-b,69575.57030087759,161.73720359802246
Round Robin,0,pre,2.292792558670044,node-c,70123.02047587637,582.9641819000244
Round Robin,0,pre,2.3132219314575195,node-a,146611.7793788687,120.4986572265625
Round Robin,0,pre,2.405380964279175,node-b,153564.21654693905,184.88240242004395
Round Robin,0,pre,2.5008885860443115,node-c,138943.70859011114,1149.5540142059326
Round Robin,0,pre,2.575849771499634,node-a,75924.30743094067,63.46726417541504
Round Robin,0,pre,2.580873727798462,node-b,118934.43850002464,148.07367324829102
Round Robin,0,pre,2.659062147140503,node-c,112261.91268402804,825.371265411377
Round Robin,0,pre,2.7527549266815186,node-a,118135.94541823669,101.5176773071289
Round Robin,0,pre,2.8300418853759766,node-b,163727.9373596016,225.5244255065918
Round Robin,0,pre,2.8493235111236572,node-c,118426.14498101735,918.3166027069092
Round Robin,0,pre,2.8713467121124268,node-a,148702.6276788918,167.73390769958496
Round Robin,0,pre,2.8830058574676514,node-b,109539.06871360115,273.5862731933594
Round Robin,0,pre,2.90740966796875,node-c,122370.26923013838,1265.2697563171387
Round Robin,0,pre,2.9085533618927,node-a,145203.44902166497,188.31324577331543
Round Robin,0,pre,2.920454978942871,node-b,51106.609478848084,238.18349838256836
Round Robin,0,pre,3.0118446350097656,node-c,90256.5467369229,1050.6274700164795
Round Robin,0,pre,3.28682541847229,node-a,83705.56105706745,59.40413475036621
Round Robin,0,pre,3.325451612472534,node-b,76942.07135549092,70.90973854064941
Round Robin,0,pre,3.345191240310669,node-c,92288.59940754846,911.4892482757568
Round Robin,0,pre,3.3726115226745605,node-a,223623.17893296183,227.82063484191895
Round Robin,0,pre,3.3973543643951416,node-b,68688.11494625095,74.86820220947266
Round Robin,0,pre,3.4059619903564453,node-c,171851.5323558088,2053.2915592193604
Round Robin,0,pre,3.480916738510132,node-a,45652.43092417173,101.05562210083008
Round Robin,0,pre,3.5757360458374023,node-b,89572.57833661404,103.4088134765625
Round Robin,0,pre,3.6797006130218506,node-c,114877.72195616567,1468.855381011963
Round Robin,0,pre,4.045776844024658,node-a,141968.17438915515,106.03475570678711
Round Robin,0,pre,4.191138744354248,node-b,151124.65600113044,149.9018669128418
Round Robin,0,pre,4.3047637939453125,node-c,157459.03991036775,1051.8100261688232
Round Robin,0,pre,4.376913547515869,node-a,88954.8739304915,81.3741683959961
Round Robin,0,pre,4.417588233947754,node-b,84041.93046071955,84.81526374816895
Round Robin,0,pre,4.420612335205078,node-c,162630.32549943525,1428.2584190368652
Round Robin,0,pre,4.486586570739746,node-a,96239.47151631535,78.16934585571289
Round Robin,0,pre,4.529380559921265,node-b,55960.639700088745,57.75618553161621
Round Robin,0,pre,4.633431911468506,node-c,60090.28226950024,638.5383605957031
Round Robin,0,pre,4.773517370223999,node-a,66871.01400533372,47.70350456237793
Round Robin,0,pre,4.796145915985107,node-b,135784.91341521015,136.7337703704834
Round Robin,0,pre,4.799678087234497,node-c,113716.05671757563,1064.9232864379883
Round Robin,0,pre,4.8633832931518555,node-a,149565.49937848616,125.79703330993652
Round Robin,0,pre,5.039458990097046,node-b,85529.84844277803,85.36052703857422
Round Robin,0,pre,5.096155881881714,node-c,114635.96529332947,1280.850887298584
Round Robin,0,pre,5.242962837219238,node-a,144790.36530163232,144.75321769714355
Round Robin,0,pre,5.295242547988892,node-b,90723.6862954343,97.29146957397461
Round Robin,0,pre,5.3855531215667725,node-c,133070.53973369344,1100.3003120422363
Round Robin,0,pre,5.405797719955444,node-a,76060.47687857399,101.63664817810059
Round Robin,0,pre,5.415153503417969,node-b,88319.84428939168,139.71543312072754
Round Robin,0,pre,5.425189971923828,node-c,87498.60022288638,1057.6574802398682
Round Robin,0,pre,5.4327497482299805,node-a,58239.971817618185,90.24524688720703
Round Robin,0,pre,5.436498403549194,node-b,135094.96602578126,244.77720260620117
Round Robin,0,pre,5.554868936538696,node-c,83746.18125251321,914.2200946807861
Round Robin,0,pre,5.58572793006897,node-a,106563.26029077674,85.4043960571289
Round Robin,0,pre,5.612281084060669,node-b,134675.0812990667,232.30385780334473
Round Robin,0,pre,5.677153825759888,node-c,132390.69092501714,1294.8188781738281
Round Robin,0,pre,5.689814805984497,node-a,147700.16361197483,117.7988052368164
Round Robin,0,pre,5.822170972824097,node-b,100811.1536219529,124.18293952941895
Round Robin,0,pre,5.911186933517456,node-c,85699.12253558153,1048.3403205871582
Round Robin,0,pre,5.934303522109985,node-a,101761.58113240422,70.98150253295898
Round Robin,0,pre,5.947855710983276,node-b,45550.63324492301,54.924964904785156
Round Robin,0,pre,5.984691858291626,node-c,51363.89565935219,1184.5250129699707
Round Robin,0,pre,6.005285024642944,node-a,54660.533271296445,67.56877899169922
Round Robin,0,pre,6.010769367218018,node-b,64319.85232856293,66.26033782958984
Round Robin,0,pre,6.045470476150513,node-c,129331.4974840889,1630.781888961792
Round Robin,0,pre,6.200800180435181,node-a,67339.85194435711,70.7857608795166
Round Robin,0,pre,6.270568132400513,node-b,87655.15873953704,73.53901863098145
Round Robin,0,pre,6.482847452163696,node-c,202776.80505403748,1585.9501361846924
Round Robin,0,pre,6.623789548873901,node-a,88620.19420916947,77.87489891052246
Round Robin,0,pre,6.700998306274414,node-b,153124.22606480986,149.30438995361328
Round Robin,0,pre,6.829144477844238,node-c,66399.06020062021,753.1900405883789
Round Robin,0,pre,6.8790130615234375,node-a,95561.78138789166,86.65204048156738
Round Robin,0,pre,6.952782154083252,node-b,65856.67009579392,47.670602798461914
Round Robin,0,pre,6.978913307189941,node-c,89386.99527108499,806.3547611236572
Round Robin,0,pre,6.993744134902954,node-a,161199.99700784046,125.0455379486084
Round Robin,0,pre,7.142011642456055,node-b,44648.98305708025,35.15791893005371
Round Robin,0,pre,7.151320457458496,node-c,131591.6496742857,1323.8227367401123
Round Robin,0,pre,7.164285898208618,node-a,119266.38776686342,96.75478935241699
Round Robin,0,pre,7.185851335525513,node-b,78682.18508509963,80.62410354614258
Round Robin,0,pre,7.252472639083862,node-c,51390.98744694206,833.6672782897949
Round Robin,0,pre,7.28096866607666,node-a,109788.57783262625,76.48897171020508
Round Robin,0,pre,7.328288555145264,node-b,81267.43544249299,77.30412483215332
Round Robin,0,pre,7.477082967758179,node-c,118965.0614164116,1391.4005756378174
Round Robin,0,pre,7.5838401317596436,node-a,107063.03953848465,83.36758613586426
Round Robin,0,pre,7.664198637008667,node-b,235893.67844331436,296.53167724609375
Round Robin,0,pre,7.676252365112305,node-c,93954.81066248991,890.0032043457031
Round Robin,0,pre,7.758123397827148,node-a,63481.14905000262,61.905860900878906
Round Robin,0,pre,7.789468288421631,node-b,115830.69050128458,336.6434574127197
Round Robin,0,pre,7.798163175582886,node-c,118213.23675298966,1166.9082641601562
Round Robin,0,pre,7.825446128845215,node-a,208948.0236575144,168.5795783996582
Round Robin,0,pre,7.830524921417236,node-b,160781.67129098458,406.39519691467285
Round Robin,0,pre,7.893271207809448,node-c,126586.67765209198,1287.3244285583496
Round Robin,0,pre,7.960730314254761,node-a,220113.47050124872,182.21592903137207
Round Robin,0,pre,7.982093334197998,node-b,58446.40705464808,278.4593105316162
Round Robin,0,pre,7.983955144882202,node-c,76908.46714807714,1379.5397281646729
Round Robin,0,pre,8.172996520996094,node-a,66633.2546554744,73.93050193786621
Round Robin,0,pre,8.227993488311768,node-b,87146.17151819795,123.69537353515625
Round Robin,0,pre,8.330705165863037,node-c,53204.80272208876,1017.9636478424072
Round Robin,0,pre,8.354822397232056,node-a,145484.16021581332,115.88215827941895
Round Robin,0,pre,8.470704555511475,node-b,94763.12854755523,84.29074287414551
Round Robin,0,pre,8.58397889137268,node-c,50758.982408466785,780.7369232177734
Round Robin,0,pre,8.590340852737427,node-a,63732.98217823439,45.55702209472656
Round Robin,0,pre,8.964561223983765,node-b,123871.98663568683,110.75210571289062
Round Robin,0,pre,9.011151552200317,node-c,161024.25836826678,1352.6577949523926
Round Robin,0,pre,9.107867956161499,node-a,287394.8886315716,278.7189483642578
Round Robin,0,pre,9.124551057815552,node-b,454602.3022671902,544.2121028900146
Round Robin,0,pre,9.192235231399536,node-c,130281.36521283789,1475.5208492279053
Round Robin,0,pre,9.212210893630981,node-a,64568.24217849559,141.23272895812988
Round Robin,0,pre,9.323118686676025,node-b,36469.21946267165,120.84364891052246
Round Robin,0,pre,9.355449676513672,node-c,121067.40709994447,918.8218116760254
Round Robin,0,pre,9.40896463394165,node-a,70528.80409688527,70.94454765319824
Round Robin,0,pre,9.44546914100647,node-b,86040.0695455298,294.5282459259033
Round Robin,0,pre,9.497164011001587,node-c,77979.29504041243,759.3653202056885
Round Robin,0,pre,9.530185461044312,node-a,98701.12056072791,91.6142463684082
Round Robin,0,pre,9.5722496509552,node-b,180455.07560424265,308.65979194641113
Round Robin,0,pre,9.574321746826172,node-c,114550.52894789848,880.4731369018555
Round Robin,0,pre,9.68337345123291,node-a,97824.42832863153,93.07432174682617
Round Robin,0,pre,9.856908559799194,node-b,63096.47260806362,97.72157669067383
Round Robin,0,pre,9.896853685379028,node-c,45839.68819845233,664.6790504455566
Round Robin,0,pre,10.131376266479492,node-a,83041.27623726778,70.6319808959961
Round Robin,0,pre,10.143314599990845,node-b,103089.80147612811,85.46900749206543
Round Robin,0,pre,10.335349082946777,node-c,256327.69886419174,2112.3225688934326
Round Robin,0,pre,10.360294580459595,node-a,113027.25716997024,90.36135673522949
Round Robin,0,pre,10.406554937362671,node-b,173098.62145637476,154.97779846191406
Round Robin,0,pre,10.57488226890564,node-c,82503.76622514013,573.0240345001221
Round Robin,0,pre,10.583056211471558,node-a,58558.125519744484,64.32318687438965
Round Robin,0,pre,10.596590757369995,node-b,65361.49748757287,71.16532325744629
Round Robin,0,pre,10.689237594604492,node-c,73690.85523159422,367.8302764892578
Round Robin,0,pre,10.756991386413574,node-a,306962.81270607,271.62694931030273
Round Robin,0,pre,10.776500463485718,node-b,70231.60357982168,72.2510814666748
Round Robin,0,pre,10.807493925094604,node-c,161053.45759911364,1381.0486793518066
Round Robin,0,pre,10.85909628868103,node-a,67425.82830184419,137.84384727478027
Round Robin,0,pre,10.989930391311646,node-b,168726.36306555252,144.56510543823242
Round Robin,0,pre,11.014568328857422,node-c,128376.48371370956,765.1009559631348
Round Robin,0,pre,11.067554235458374,node-a,97922.15183414886,80.3520679473877
Round Robin,0,pre,11.091643571853638,node-b,103763.10659041413,177.18935012817383
Round Robin,0,pre,11.112985134124756,node-c,76332.43109249871,1147.7835178375244
Round Robin,0,pre,11.260165214538574,node-a,132360.31243213505,108.7496280670166
Round Robin,0,pre,11.298250436782837,node-b,84352.12510858945,70.6644058227539
Round Robin,0,pre,11.390885353088379,node-c,57379.60123019344,672.8987693786621
Round Robin,0,pre,11.411600351333618,node-a,55897.68441624148,64.52274322509766
Round Robin,0,pre,11.424675226211548,node-b,115444.01590162003,108.41965675354004
Round Robin,0,pre,11.503216028213501,node-c,233232.86404583717,1244.3103790283203
Round Robin,0,pre,11.600812196731567,node-a,114719.21677682016,93.78671646118164
Round Robin,0,pre,11.666884660720825,node-b,99800.43876265132,85.9217643737793
Round Robin,0,pre,11.748643159866333,node-c,122168.93653522362,1634.3257427215576
Round Robin,0,pre,11.818702459335327,node-a,203464.71794008536,149.44171905517578
Round Robin,0,pre,11.89387845993042,node-b,118176.94006945375,97.14317321777344
Round Robin,0,pre,12.04975175857544,node-c,86230.86078672975,1013.2977962493896
Round Robin,0,pre,12.244170904159546,node-a,184128.90773171766,137.5880241394043
Round Robin,0,pre,12.290247201919556,node-b,131219.29903724522,101.06730461120605
Round Robin,0,pre,12.296038627624512,node-c,228233.61664436944,1686.7449283599854
Round Robin,0,pre,12.392820119857788,node-a,116060.19296506053,107.30719566345215
Round Robin,0,post,12.451566219329834,node-b,57412.22311567495,68.2685375213623
Round Robin,0,post,12.619702100753784,node-c,53432.124268864034,733.6790561676025
Round Robin,0,post,12.691936731338501,node-a,241762.46847243674,850.3499031066895
Round Robin,0,post,12.701566457748413,node-b,250716.9473937672,357.47575759887695
Round Robin,0,post,12.77403211593628,node-c,96808.24208274338,1185.312271118164
Round Robin,0,post,12.813222646713257,node-a,87435.2117720609,741.2624359130859
Round Robin,0,post,12.821282625198364,node-b,219909.01418095123,427.75535583496094
Round Robin,0,post,12.840047597885132,node-c,60883.90790345369,1128.737449645996
Round Robin,0,post,13.079766273498535,node-a,67702.84707408982,555.6793212890625
Round Robin,0,post,13.107369899749756,node-b,146080.10565676758,248.5218048095703
Round Robin,0,post,13.12522268295288,node-c,86937.47493319158,762.5305652618408
Round Robin,0,post,13.155841827392578,node-a,105628.77338793047,880.2285194396973
Round Robin,0,post,13.298392295837402,node-b,97589.5378506133,171.6938018798828
Round Robin,0,post,13.373422145843506,node-c,125371.21008379715,1302.1011352539062
Round Robin,0,post,13.387486457824707,node-a,214054.9319503215,1864.4177913665771
Round Robin,0,post,13.387486457824707,node-b,110806.3625313794,179.2316436767578
Round Robin,0,post,13.418221712112427,node-c,146124.81290579663,2129.4076442718506
Round Robin,0,post,13.428868055343628,node-a,37993.14285529002,704.9691677093506
Round Robin,0,post,13.57158637046814,node-b,103351.1632820267,103.057861328125
Round Robin,0,post,13.578300714492798,node-c,69468.72196736024,903.3880233764648
Round Robin,0,post,13.625399351119995,node-a,57574.813852465995,606.0357093811035
Round Robin,0,post,13.695546388626099,node-b,68266.2539836552,61.621904373168945
Round Robin,0,post,13.893861770629883,node-c,89606.69358959842,1274.132490158081
Round Robin,0,post,13.91358470916748,node-a,167409.5179490162,1338.3195400238037
Round Robin,0,post,14.033553123474121,node-b,54559.69284863689,52.72054672241211
Round Robin,0,post,14.086273670196533,node-c,107534.04435213337,1266.9117450714111
Round Robin,0,post,14.206172704696655,node-a,83130.11460079094,1130.8329105377197
Round Robin,0,post,14.229797840118408,node-b,89896.15722783373,86.44723892211914
Round Robin,0,post,14.252978086471558,node-c,174839.89255022866,1430.300235748291
Round Robin,0,post,14.27073621749878,node-a,138594.09223552106,969.3624973297119
Round Robin,0,post,14.34260630607605,node-b,206683.94619636342,156.04186058044434
Round Robin,0,post,14.387190103530884,node-c,98026.60320989732,1190.6664371490479
Round Robin,0,post,14.447157382965088,node-a,74777.75419572592,608.1757545471191
Round Robin,0,post,14.53542447090149,node-b,94685.63833309733,80.02400398254395
Round Robin,0,post,14.615448474884033,node-c,119550.65089333974,1248.727798461914
Round Robin,0,post,14.687174797058105,node-a,115674.29290585338,1476.5830039978027
Round Robin,0,post,14.784003734588623,node-b,61577.571589411076,45.87149620056152
Round Robin,0,post,14.785985708236694,node-c,110801.09241391941,999.6380805969238
Round Robin,0,post,14.889716863632202,node-a,118700.7841627887,1164.9813652038574
